建筑年代,物业费（元/平米）,物业类型,总价（万元）,均价（元/平米）,建筑面积,结构,住宅类别,产权性质,建筑类别,户型
1989.0,0.0,住宅,30.6,4346.590909090909,70.4,平层,普通住宅,个人产权,板楼,2室2厅1厨1卫
1989.0,1.0,住宅,418.0,83902.04737053392,49.82,平层,普通住宅,个人产权,塔楼,2室1厅0厨1卫
2005.0,3.5,住宅,2650.0,91918.14082552896,288.3,,普通住宅,个人产权,,4室2厅0厨2卫
1994.0,0.4,住宅,280.0,50000.0,56.0,平层,,商品房,板楼,2室1厅1厨1卫
1998.0,0.4,住宅,190.0,32758.620689655174,58.0,平层,普通住宅,个人产权,钢混,2室1厅1厨1卫
1986.0,0.85,住宅,205.0,58571.42857142857,35.0,平层,,商品房,板楼,1室2厅1厨1卫
,3.8,别墅,1000.0,42194.09282700422,237.0,,,,,4室3厅1厨4卫
1996.0,0.0,住宅,230.0,46000.0,50.0,平层,普通住宅,个人产权,板楼,1室1厅1厨1卫
1994.0,0.8,住宅,273.0,39674.46592065107,68.81,平层,普通住宅,商品房,塔楼,2室1厅1厨1卫
1996.0,0.5,住宅,410.0,56944.444444444445,72.0,平层,普通住宅,个人产权,板楼,2室1厅1厨1卫
2011.0,4.3,住宅,1000.0,90909.09090909091,110.0,平层,普通住宅,个人产权,板楼,2室2厅1厨1卫
,6.5,别墅,2798.0,55737.051792828686,502.0,,,,,5室3厅2厨6卫
1991.0,0.6,住宅,180.0,38200.339558573854,47.12,,普通住宅,个人产权,,2室0厅0厨1卫
1995.0,0.5,住宅,185.0,52676.537585421414,35.12,平层,普通住宅,个人产权,板楼,1室1厅1厨1卫
2017.0,4.8,住宅,508.0,41300.813008130084,123.0,平层,普通住宅,个人产权,钢混,3室2厅1厨2卫
2012.0,1.4,住宅,270.0,31034.48275862069,87.0,平层,普通住宅,个人产权,板楼,2室2厅1厨1卫
2002.0,1.5,住宅,700.0,67961.16504854368,103.0,平层,普通住宅,个人产权,板楼,2室2厅1厨1卫
1996.0,0.8,住宅,258.0,57333.333333333336,45.0,平层,普通住宅,个人产权,板楼,1室1厅1厨1卫
1990.0,0.3,住宅,219.9934217782876,46807.111016656934,47.0,平层,普通住宅,个人产权,板楼,2室1厅1厨1卫
1970.0,0.3,住宅,90.0,40000.0,22.5,平层,普通住宅,个人产权,板楼,1室1厅1厨1卫
2017.0,2.95,住宅,340.0,37777.77777777778,90.0,平层,普通住宅,个人产权,板楼,3室2厅1厨1卫
1993.0,0.8,住宅,318.0,54941.25777470629,57.88,平层,普通住宅,个人产权,板楼,2室1厅1厨1卫
2004.0,0.8,住宅,420.0,46666.666666666664,90.0,平层,普通住宅,个人产权,板楼,2室2厅1厨1卫
2004.0,3.05,住宅,900.0,55869.38978210938,161.09,平层,普通住宅,个人产权,板楼,3室2厅1厨2卫
2016.0,3.8,住宅,453.0,39051.724137931036,116.0,平层,普通住宅,商品房,板楼,4室2厅1厨2卫
2015.0,0.9,住宅,270.0,47368.42105263158,57.0,平层,普通住宅,个人产权,板楼,1室1厅1厨1卫
2008.0,0.99,住宅,330.0,29885.890237275857,110.42,平层,普通住宅,个人产权,板楼,2室2厅1厨1卫
2016.0,0.0,住宅,80.0,9523.809523809523,84.0,,普通住宅,个人产权,,2室2厅0厨1卫
2005.0,1.65,住宅,690.0,63302.752293577985,109.0,平层,普通住宅,个人产权,板楼,2室2厅1厨2卫
,2.1,别墅,600.0,48000.0,125.0,,,,,4室2厅1厨2卫
2007.0,2.35,住宅,455.0,39912.28070175439,114.0,平层,酒店式公寓,商品房,板楼,3室2厅1厨1卫
2008.0,1.2,住宅,422.0,39439.2523364486,107.0,,酒店式公寓,个人产权,塔板结合,3室2厅1厨2卫
2006.0,1.2,住宅,600.0,41666.666666666664,144.0,,酒店式公寓,个人产权,塔板结合,3室2厅1厨2卫
2012.0,2.1,住宅,390.0,43820.22471910113,89.0,,普通住宅,个人产权,塔板结合,3室2厅1厨1卫
2012.0,2.27,住宅,360.0,43902.439024390245,82.0,平层,普通住宅,商品房,平房,2室2厅1厨1卫
2011.0,2.1,住宅,590.0,44029.850746268654,134.0,平层,普通住宅,商品房,钢混,4室2厅1厨2卫
2010.0,2.1,住宅,410.0,46067.41573033708,89.0,平层,普通住宅,商品房,钢混,3室2厅1厨1卫
2006.0,1.2,住宅,465.0,43457.943925233645,107.0,平层,酒店式公寓,商品房,钢混,2室2厅1厨1卫
2010.0,2.1,住宅,400.0,45454.545454545456,88.0,平层,普通住宅,经济适用房,钢混,3室2厅1厨1卫
2014.0,2.5,住宅,440.0,41904.76190476191,105.0,,酒店式公寓,个人产权,塔板结合,3室2厅1厨1卫
2001.0,0.9,住宅,345.0,36926.040886224975,93.43,复式,普通住宅,商品房,平房,2室2厅1厨1卫
2009.0,1.2,住宅,440.0,43668.12227074236,100.76,,普通住宅,商品房,,3室2厅1厨1卫
,2.1,别墅,635.0,42052.98013245033,151.0,,,,,4室2厅1厨3卫
,3.12,别墅,700.0,59322.03389830508,118.0,,,,,4室2厅1厨3卫
2008.0,1.2,住宅,235.0,41228.070175438595,57.0,平层,普通住宅,商品房,钢混,1室1厅1厨1卫
2006.0,1.35,住宅,640.0,47058.82352941176,136.0,平层,酒店式公寓,商品房,板楼,3室2厅1厨2卫
2012.0,2.27,住宅,360.0,43902.439024390245,82.0,,普通住宅,个人产权,塔板结合,2室1厅1厨1卫
2010.0,2.1,住宅,550.0,46610.16949152543,118.0,,酒店式公寓,个人产权,板楼,3室2厅1厨2卫
2012.0,2.27,住宅,465.0,45588.23529411765,102.0,平层,普通住宅,商品房,钢混,3室2厅1厨2卫
2014.0,2.87,住宅,310.0,41891.89189189189,74.0,平层,普通住宅,个人产权,钢混,2室2厅1厨1卫
2006.0,1.6,住宅,530.0,41085.27131782946,129.0,,酒店式公寓,个人产权,塔板结合,3室2厅1厨2卫
2009.0,2.1,住宅,340.0,49275.362318840576,69.0,,普通住宅,个人产权,塔板结合,2室2厅1厨1卫
2006.0,1.35,住宅,490.0,41525.42372881356,118.0,,酒店式公寓,个人产权,塔板结合,3室2厅1厨2卫
2015.0,2.87,住宅,435.0,44845.36082474227,97.0,,酒店式公寓,个人产权,板楼,3室2厅1厨1卫
2017.0,1.7,住宅,75.0,8333.333333333334,90.0,平层,普通住宅,个人产权,板楼,3室2厅1厨2卫
2007.0,1.5,住宅,750.0,41666.666666666664,180.0,平层,普通住宅,个人产权,板楼,4室3厅1厨3卫
2016.0,2.5,住宅,450.0,46875.0,96.0,平层,普通住宅,个人产权,板楼,3室2厅1厨2卫
1994.0,0.5,住宅,245.0,47115.38461538462,52.0,平层,普通住宅,个人产权,砖混,2室0厅1厨1卫
2002.0,1.95,住宅,1710.0,88601.03626943006,193.0,平层,普通住宅,个人产权,板楼,4室2厅1厨2卫
1996.0,0.4,住宅,455.0,51704.545454545456,88.0,平层,普通住宅,商品房,塔楼,3室2厅1厨1卫
2006.0,14.5,住宅,5500.0,120926.96011608989,454.82,,普通住宅,个人产权,,5室3厅2厨4卫
2013.0,1.24,住宅,36.0,7659.574468085107,47.0,平层,普通住宅,个人产权,板楼,1室1厅1厨1卫
2006.0,1.25,住宅,480.0,32807.05351650605,146.31,平层,普通住宅,个人产权,钢混,3室2厅1厨2卫
1989.0,1.6,住宅,210.0,50565.856007705275,41.53,平层,普通住宅,售后公房,板楼,1室1厅1厨1卫
2013.0,1.2,住宅,340.0,48920.86330935252,69.5,平层,普通住宅,个人产权,板楼,2室1厅1厨1卫
2017.0,0.0,住宅,69.0,8414.634146341463,82.0,平层,普通住宅,个人产权,,3室2厅1厨2卫
,1.2,住宅,470.0,38842.97520661157,121.0,平层,普通住宅,个人产权,板楼,3室2厅1厨2卫
2016.0,1.75,住宅,240.0,27272.727272727272,88.0,平层,普通住宅,个人产权,板楼,3室2厅1厨1卫
2000.0,1.15,住宅,830.0,60144.92753623189,138.0,平层,普通住宅,商品房,板楼,3室2厅1厨2卫
1986.0,4.5,住宅,215.0,69354.83870967742,31.0,平层,普通住宅,个人产权,钢混,1室1厅1厨1卫
2017.0,0.0,住宅,80.0,8695.652173913044,92.0,平层,普通住宅,个人产权,板楼,2室2厅1厨1卫
2004.0,0.0,住宅,400.0,44444.444444444445,90.0,平层,普通住宅,个人产权,板楼,3室2厅1厨1卫
,4.2,别墅,650.0,20312.5,320.0,,,,,5室3厅0厨3卫
1995.0,1.2,住宅,255.0,27717.391304347828,92.0,平层,新里洋房,个人产权,钢混,2室1厅1厨1卫
2014.0,0.0,住宅,40.0,8000.0,50.0,平层,酒店式公寓,个人产权,板楼,2室1厅1厨1卫
2010.0,4.0,住宅,55.0,12222.222222222223,45.0,复式,酒店式公寓,个人产权,钢混,2室2厅1厨1卫
1997.0,0.35,住宅,200.0,44444.444444444445,45.0,平层,普通住宅,个人产权,板楼,1室1厅1厨1卫
1994.0,0.5,住宅,320.0,62967.335694608424,50.82,平层,普通住宅,个人产权,板楼,2室1厅1厨1卫
2004.0,1.45,住宅,578.0,59587.62886597938,97.0,平层,普通住宅,个人产权,钢混,2室2厅1厨1卫
2003.0,1.5,住宅,750.0,56986.55117392295,131.61,平层,,商品房,板楼,2室2厅1厨2卫
1987.0,0.3,住宅,235.0,53409.09090909091,44.0,平层,,商品房,板楼,2室1厅1厨1卫
2010.0,0.8,住宅,98.0,9333.333333333334,105.0,平层,普通住宅,个人产权,板楼,3室2厅1厨2卫
1900.0,7.7,住宅,2500.0,133775.68493150684,186.88,,普通住宅,个人产权,,3室2厅0厨2卫
