name,type,value,date
阿富汗,AFG,2.80,1960
阿富汗,AFG,2.81,1961
阿富汗,AFG,2.80,1962
阿富汗,AFG,2.78,1963
阿富汗,AFG,2.75,1964
阿富汗,AFG,2.70,1965
阿富汗,AFG,2.71,1966
阿富汗,AFG,2.71,1967
阿富汗,AFG,2.69,1968
阿富汗,AFG,2.66,1969
阿富汗,AFG,2.62,1970
阿富汗,AFG,2.62,1971
阿富汗,AFG,2.62,1972
阿富汗,AFG,2.60,1973
阿富汗,AFG,2.57,1974
阿富汗,AFG,2.53,1975
阿富汗,AFG,2.54,1976
阿富汗,AFG,2.53,1977
阿富汗,AFG,2.51,1978
阿富汗,AFG,2.47,1979
阿富汗,AFG,2.41,1980
阿富汗,AFG,2.43,1981
阿富汗,AFG,2.43,1982
阿富汗,AFG,2.39,1983
阿富汗,AFG,2.32,1984
阿富汗,AFG,2.21,1985
阿富汗,AFG,2.24,1986
阿富汗,AFG,2.27,1987
阿富汗,AFG,2.28,1988
阿富汗,AFG,2.26,1989
阿富汗,AFG,2.21,1990
阿富汗,AFG,2.23,1991
阿富汗,AFG,2.24,1992
阿富汗,AFG,2.26,1993
阿富汗,AFG,2.29,1994
阿富汗,AFG,2.33,1995
阿富汗,AFG,2.33,1996
阿富汗,AFG,2.31,1997
阿富汗,AFG,2.29,1998
阿富汗,AFG,2.27,1999
阿富汗,AFG,2.25,2000
阿富汗,AFG,2.23,2001
阿富汗,AFG,2.21,2002
阿富汗,AFG,2.20,2003
阿富汗,AFG,2.19,2004
阿富汗,AFG,2.19,2005
阿富汗,AFG,2.21,2006
阿富汗,AFG,2.23,2007
阿富汗,AFG,2.25,2008
阿富汗,AFG,2.28,2009
阿富汗,AFG,2.30,2010
阿富汗,AFG,2.34,2011
阿富汗,AFG,2.38,2012
阿富汗,AFG,2.42,2013
阿富汗,AFG,2.46,2014
阿富汗,AFG,2.49,2015
阿富汗,AFG,2.54,2016
阿富汗,AFG,2.58,2017
阿尔巴尼亚,ALB,5.41,1960
阿尔巴尼亚,ALB,5.39,1961
阿尔巴尼亚,ALB,5.41,1962
阿尔巴尼亚,ALB,5.43,1963
阿尔巴尼亚,ALB,5.46,1964
阿尔巴尼亚,ALB,5.46,1965
阿尔巴尼亚,ALB,5.40,1966
阿尔巴尼亚,ALB,5.34,1967
阿尔巴尼亚,ALB,5.27,1968
阿尔巴尼亚,ALB,5.22,1969
阿尔巴尼亚,ALB,5.19,1970
阿尔巴尼亚,ALB,5.18,1971
阿尔巴尼亚,ALB,5.18,1972
阿尔巴尼亚,ALB,5.18,1973
阿尔巴尼亚,ALB,5.19,1974
阿尔巴尼亚,ALB,5.20,1975
阿尔巴尼亚,ALB,5.22,1976
阿尔巴尼亚,ALB,5.24,1977
阿尔巴尼亚,ALB,5.26,1978
阿尔巴尼亚,ALB,5.28,1979
阿尔巴尼亚,ALB,5.30,1980
阿尔巴尼亚,ALB,5.33,1981
阿尔巴尼亚,ALB,5.35,1982
阿尔巴尼亚,ALB,5.38,1983
阿尔巴尼亚,ALB,5.39,1984
阿尔巴尼亚,ALB,5.40,1985
阿尔巴尼亚,ALB,5.41,1986
阿尔巴尼亚,ALB,5.42,1987
阿尔巴尼亚,ALB,5.42,1988
阿尔巴尼亚,ALB,5.45,1989
阿尔巴尼亚,ALB,5.50,1990
阿尔巴尼亚,ALB,5.66,1991
阿尔巴尼亚,ALB,5.84,1992
阿尔巴尼亚,ALB,6.04,1993
阿尔巴尼亚,ALB,6.24,1994
阿尔巴尼亚,ALB,6.45,1995
阿尔巴尼亚,ALB,6.58,1996
阿尔巴尼亚,ALB,6.70,1997
阿尔巴尼亚,ALB,6.81,1998
阿尔巴尼亚,ALB,6.94,1999
阿尔巴尼亚,ALB,7.07,2000
阿尔巴尼亚,ALB,7.33,2001
阿尔巴尼亚,ALB,7.61,2002
阿尔巴尼亚,ALB,7.91,2003
阿尔巴尼亚,ALB,8.21,2004
阿尔巴尼亚,ALB,8.52,2005
阿尔巴尼亚,ALB,8.93,2006
阿尔巴尼亚,ALB,9.35,2007
阿尔巴尼亚,ALB,9.78,2008
阿尔巴尼亚,ALB,10.22,2009
阿尔巴尼亚,ALB,10.67,2010
阿尔巴尼亚,ALB,11.05,2011
阿尔巴尼亚,ALB,11.42,2012
阿尔巴尼亚,ALB,11.77,2013
阿尔巴尼亚,ALB,12.14,2014
阿尔巴尼亚,ALB,12.54,2015
阿尔巴尼亚,ALB,12.83,2016
阿尔巴尼亚,ALB,13.19,2017
阿尔及利亚,DZA,3.22,1960
阿尔及利亚,DZA,3.31,1961
阿尔及利亚,DZA,3.40,1962
阿尔及利亚,DZA,3.49,1963
阿尔及利亚,DZA,3.56,1964
阿尔及利亚,DZA,3.59,1965
阿尔及利亚,DZA,3.60,1966
阿尔及利亚,DZA,3.58,1967
阿尔及利亚,DZA,3.55,1968
阿尔及利亚,DZA,3.53,1969
阿尔及利亚,DZA,3.52,1970
阿尔及利亚,DZA,3.54,1971
阿尔及利亚,DZA,3.57,1972
阿尔及利亚,DZA,3.60,1973
阿尔及利亚,DZA,3.61,1974
阿尔及利亚,DZA,3.60,1975
阿尔及利亚,DZA,3.58,1976
阿尔及利亚,DZA,3.55,1977
阿尔及利亚,DZA,3.51,1978
