name,type,value,date
上海市,上,48709.0,2004年
上海市,上,47794.0,2005年
上海市,上,48022.0,2006年
上海市,上,48614.0,2007年
上海市,上,48059.0,2008年
上海市,上,49111.0,2009年
上海市,上,50007.0,2010年
上海市,上,50438.0,2011年
上海市,上,50683.0,2012年
上海市,上,50612.0,2013年
上海市,上,50738.0,2014年
上海市,上,49586.0,2015年
上海市,上,47271.0,2016年
上海市,上,46397.0,2017年
云南省,云,16102.0,2004年
云南省,云,15794.0,2005年
云南省,云,15312.0,2006年
云南省,云,15668.0,2007年
云南省,云,15903.0,2008年
云南省,云,14752.0,2009年
云南省,云,15164.0,2010年
云南省,云,15415.0,2011年
云南省,云,17302.0,2012年
云南省,云,17580.0,2013年
云南省,云,17746.0,2014年
云南省,云,18793.0,2015年
云南省,云,19130.0,2016年
云南省,云,19061.0,2017年
内蒙古自治区,内,31133.0,2004年
内蒙古自治区,内,32508.0,2005年
内蒙古自治区,内,33775.0,2006年
内蒙古自治区,内,36047.0,2007年
内蒙古自治区,内,36517.0,2008年
内蒙古自治区,内,43084.0,2009年
内蒙古自治区,内,37131.0,2010年
内蒙古自治区,内,37520.0,2011年
内蒙古自治区,内,37778.0,2012年
内蒙古自治区,内,38120.0,2013年
内蒙古自治区,内,38347.0,2014年
内蒙古自治区,内,39359.0,2015年
内蒙古自治区,内,45499.0,2016年
内蒙古自治区,内,39062.0,2017年
北京市,北,55463.0,2004年
北京市,北,66000.0,2005年
北京市,北,66646.0,2006年
北京市,北,66646.0,2007年
北京市,北,66646.0,2008年
北京市,北,66646.0,2009年
北京市,北,66646.0,2010年
北京市,北,66646.0,2011年
北京市,北,66646.0,2012年
北京市,北,67046.0,2013年
北京市,北,67546.0,2014年
北京市,北,68284.0,2015年
北京市,北,68484.0,2016年
北京市,北,68484.0,2017年
吉林省,吉,53744.0,2004年
吉林省,吉,49239.0,2005年
吉林省,吉,50282.0,2006年
吉林省,吉,55456.0,2007年
吉林省,吉,55365.0,2008年
吉林省,吉,53472.0,2009年
吉林省,吉,54933.0,2010年
吉林省,吉,54922.0,2011年
吉林省,吉,55457.0,2012年
吉林省,吉,55096.0,2013年
吉林省,吉,55725.0,2014年
吉林省,吉,56447.0,2015年
吉林省,吉,56413.0,2016年
吉林省,吉,56356.0,2017年
四川省,四,24766.0,2004年
四川省,四,24513.0,2005年
四川省,四,24529.0,2006年
四川省,四,25002.0,2007年
四川省,四,28116.0,2008年
四川省,四,25622.0,2009年
四川省,四,27022.0,2010年
四川省,四,29495.0,2011年
四川省,四,31818.0,2012年
四川省,四,33142.0,2013年
四川省,四,34304.0,2014年
四川省,四,35342.0,2015年
四川省,四,33394.0,2016年
四川省,四,32611.0,2017年
天津市,天,31939.0,2004年
天津市,天,31939.0,2005年
天津市,天,31940.0,2006年
天津市,天,31939.0,2007年
天津市,天,31939.0,2008年
天津市,天,31940.0,2009年
天津市,天,31940.0,2010年
天津市,天,31940.0,2011年
天津市,天,31940.0,2012年
天津市,天,31940.0,2013年
天津市,天,31940.0,2014年
天津市,天,31940.0,2015年
天津市,天,31940.0,2016年
天津市,天,31940.0,2017年
宁夏回族自治区,宁,10853.0,2004年
宁夏回族自治区,宁,11183.0,2005年
宁夏回族自治区,宁,11671.0,2006年
宁夏回族自治区,宁,11985.0,2007年
宁夏回族自治区,宁,12336.0,2008年
宁夏回族自治区,宁,12582.0,2009年
宁夏回族自治区,宁,12978.0,2010年
宁夏回族自治区,宁,12827.0,2011年
宁夏回族自治区,宁,13107.0,2012年
宁夏回族自治区,宁,13189.0,2013年
宁夏回族自治区,宁,12831.0,2014年
宁夏回族自治区,宁,12571.0,2015年
宁夏回族自治区,宁,12504.0,2016年
宁夏回族自治区,宁,12765.0,2017年
安徽省,安,35005.0,2004年
安徽省,安,34287.0,2005年
安徽省,安,33435.0,2006年
安徽省,安,34391.0,2007年
安徽省,安,35382.0,2008年
安徽省,安,35591.0,2009年
安徽省,安,36681.0,2010年
安徽省,安,36525.0,2011年
安徽省,安,37142.0,2012年
安徽省,安,37833.0,2013年
安徽省,安,38792.0,2014年
安徽省,安,39190.0,2015年
安徽省,安,39199.0,2016年
安徽省,安,39490.0,2017年
山东省,山,48756.0,2004年
山东省,山,56226.0,2005年
山东省,山,53377.0,2006年
山东省,山,55312.0,2007年
山东省,山,56325.0,2008年
山东省,山,57278.0,2009年
山东省,山,57687.0,2010年
山东省,山,58462.0,2011年
山东省,山,58758.0,2012年
山东省,山,59080.0,2013年
山东省,山,60119.0,2014年
山东省,山,61231.0,2015年
山东省,山,61314.0,2016年
山东省,山,61678.0,2017年
山西省,山,26698.0,2004年
山西省,山,29842.0,2005年
山西省,山,27511.0,2006年
山西省,山,27658.0,2007年
山西省,山,28475.0,2008年
山西省,山,28729.0,2009年
山西省,山,28848.0,2010年
山西省,山,29116.0,2011年
山西省,山,29700.0,2012年
山西省,山,34906.0,2013年
山西省,山,30401.0,2014年
山西省,山,30696.0,2015年
山西省,山,30690.0,2016年
山西省,山,30492.0,2017年
广东省,广,34094.0,2004年
广东省,广,43831.0,2005年
广东省,广,36355.0,2006年
广东省,广,51566.0,2007年
广东省,广,55825.0,2008年
广东省,广,57789.0,2009年
广东省,广,59972.0,2010年
广东省,广,60624.0,2011年
广东省,广,62243.0,2012年
广东省,广,65315.0,2013年
广东省,广,66135.0,2014年
广东省,广,68137.0,2015年
广东省,广,68504.0,2016年
广东省,广,66777.0,2017年
广西壮族自治区,广,11324.0,2004年
广西壮族自治区,广,11970.0,2005年
广西壮族自治区,广,12389.0,2006年
广西壮族自治区,广,12426.0,2007年
广西壮族自治区,广,13993.0,2008年
广西壮族自治区,广,13888.0,2009年
广西壮族自治区,广,13566.0,2010年
广西壮族自治区,广,14139.0,2011年
广西壮族自治区,广,15015.0,2012年
广西壮族自治区,广,15249.0,2013年
广西壮族自治区,广,16592.0,2014年
广西壮族自治区,广,17025.0,2015年
广西壮族自治区,广,17337.0,2016年
广西壮族自治区,广,17532.0,2017年
新疆维吾尔自治区,新,23008.0,2004年
新疆维吾尔自治区,新,23328.0,2005年
新疆维吾尔自治区,新,22359.0,2006年
新疆维吾尔自治区,新,24269.0,2007年
新疆维吾尔自治区,新,24614.0,2008年
新疆维吾尔自治区,新,24650.0,2009年
新疆维吾尔自治区,新,24546.0,2010年
新疆维吾尔自治区,新,27599.0,2011年
新疆维吾尔自治区,新,28351.0,2012年
新疆维吾尔自治区,新,30529.0,2013年
新疆维吾尔自治区,新,30845.0,2014年
新疆维吾尔自治区,新,31704.0,2015年
新疆维吾尔自治区,新,32284.0,2016年
新疆维吾尔自治区,新,33406.0,2017年
江苏省,江,40746.0,2004年
江苏省,江,41476.0,2005年
江苏省,江,42032.0,2006年
江苏省,江,44993.0,2007年
江苏省,江,44708.0,2008年
江苏省,江,45016.0,2009年
江苏省,江,46075.0,2010年
江苏省,江,46342.0,2011年
江苏省,江,47269.0,2012年
