name,type,value,date
上海市,上海,1218226.34,2011年
上海市,上海,1828629.26,2012年
上海市,上海,2575921.26,2013年
上海市,上海,3613060.35,2014年
上海市,上海,4552476.2,2015年
上海市,上海,7095143.47,2016年
上海市,上海,8688851.56,2017年
云南省,云南,70425.36,2011年
云南省,云南,85357.49,2012年
云南省,云南,105318.73,2013年
云南省,云南,152401.04,2014年
云南省,云南,201152.54,2015年
云南省,云南,289569.03,2016年
云南省,云南,360114.89,2017年
内蒙古自治区,内蒙,45339.77,2011年
内蒙古自治区,内蒙,58718.62,2012年
内蒙古自治区,内蒙,64417.0,2013年
内蒙古自治区,内蒙,103218.81,2014年
内蒙古自治区,内蒙,123053.37,2015年
内蒙古自治区,内蒙,185011.03,2016年
内蒙古自治区,内蒙,239592.75,2017年
北京市,北京,625532.29,2011年
北京市,北京,762737.03,2012年
北京市,北京,937978.78,2013年
北京市,北京,1476107.92,2014年
北京市,北京,1816522.52,2015年
北京市,北京,2565681.31,2016年
北京市,北京,3038329.8,2017年
吉林省,吉林,63106.0,2011年
吉林省,吉林,80722.49,2012年
吉林省,吉林,87529.93,2013年
吉林省,吉林,130649.0,2014年
吉林省,吉林,169634.03,2015年
吉林省,吉林,251313.38,2016年
吉林省,吉林,304484.03,2017年
四川省,四川,177908.0,2011年
四川省,四川,225753.71,2012年
四川省,四川,304253.8,2013年
四川省,四川,479628.02,2014年
四川省,四川,628897.79,2015年
四川省,四川,963552.67,2016年
四川省,四川,1274785.54,2017年
天津市,天津,127066.28,2011年
天津市,天津,144376.72,2012年
天津市,天津,177653.73,2013年
天津市,天津,250712.59,2014年
天津市,天津,435370.4,2015年
天津市,天津,634879.87,2016年
天津市,天津,763314.88,2017年
宁夏回族自治区,宁夏,15071.76,2011年
宁夏回族自治区,宁夏,52708.98,2012年
宁夏回族自治区,宁夏,24309.71,2013年
宁夏回族自治区,宁夏,33500.2,2014年
宁夏回族自治区,宁夏,48355.72,2015年
宁夏回族自治区,宁夏,58591.15,2016年
宁夏回族自治区,宁夏,67784.35,2017年
安徽省,安徽,112013.79,2011年
安徽省,安徽,145715.75,2012年
安徽省,安徽,195051.79,2013年
安徽省,安徽,291488.86,2014年
