name,type,value,date
上海市,上海,847.5,2001年
上海市,上海,946.4,2002年
上海市,上海,1148.7,2003年
上海市,上海,1388.4,2004年
上海市,上海,1685.5,2005年
上海市,上海,2112.31,2006年
上海市,上海,24247.01,2007年
上海市,上海,29259.07,2008年
上海市,上海,34178.35,2009年
上海市,上海,24318.9,2010年
上海市,上海,40914.91,2011年
上海市,上海,59905.25,2012年
上海市,上海,95012.45,2013年
上海市,上海,128366.11,2014年
上海市,上海,170777.96,2015年
上海市,上海,260274.43,2016年
上海市,上海,311503.7,2017年
云南省,云南,153.3,2001年
云南省,云南,160.9,2002年
云南省,云南,199.6,2003年
云南省,云南,218.0,2004年
云南省,云南,261.7,2005年
云南省,云南,550.53,2006年
云南省,云南,1467.61,2007年
云南省,云南,1756.96,2008年
云南省,云南,1849.7,2009年
云南省,云南,2108.5,2010年
云南省,云南,3041.38,2011年
云南省,云南,3774.37,2012年
云南省,云南,6870.32,2013年
云南省,云南,8546.08,2014年
云南省,云南,11109.14,2015年
云南省,云南,17445.8,2016年
云南省,云南,22775.76,2017年
内蒙古自治区,内蒙,129.1,2001年
内蒙古自治区,内蒙,147.6,2002年
内蒙古自治区,内蒙,191.7,2003年
内蒙古自治区,内蒙,218.1,2004年
内蒙古自治区,内蒙,246.0,2005年
内蒙古自治区,内蒙,272.08,2006年
内蒙古自治区,内蒙,850.81,2007年
内蒙古自治区,内蒙,1061.48,2008年
内蒙古自治区,内蒙,1196.43,2009年
内蒙古自治区,内蒙,1432.1,2010年
内蒙古自治区,内蒙,1994.95,2011年
内蒙古自治区,内蒙,2439.98,2012年
内蒙古自治区,内蒙,2838.98,2013年
内蒙古自治区,内蒙,4363.63,2014年
内蒙古自治区,内蒙,5410.15,2015年
内蒙古自治区,内蒙,8470.64,2016年
内蒙古自治区,内蒙,11035.31,2017年
北京市,北京,990.7,2001年
北京市,北京,1066.7,2002年
北京市,北京,1188.8,2003年
北京市,北京,1499.7,2004年
北京市,北京,1795.1,2005年
北京市,北京,2081.18,2006年
北京市,北京,9504.31,2007年
北京市,北京,13487.91,2008年
北京市,北京,14986.45,2009年
北京市,北京,18002.5,2010年
北京市,北京,33663.38,2011年
北京市,北京,48073.73,2012年
北京市,北京,81818.2,2013年
北京市,北京,111011.95,2014年
北京市,北京,141447.26,2015年
北京市,北京,196029.02,2016年
北京市,北京,227452.1,2017年
吉林省,吉林,218.8,2001年
吉林省,吉林,266.7,2002年
吉林省,吉林,330.1,2003年
吉林省,吉林,322.9,2004年
吉林省,吉林,424.7,2005年
吉林省,吉林,561.34,2006年
吉林省,吉林,1176.37,2007年
吉林省,吉林,1342.58,2008年
吉林省,吉林,1445.76,2009年
吉林省,吉林,1855.0,2010年
吉林省,吉林,2647.29,2011年
吉林省,吉林,3854.37,2012年
吉林省,吉林,4526.69,2013年
吉林省,吉林,6640.24,2014年
吉林省,吉林,9017.05,2015年
吉林省,吉林,13893.98,2016年
吉林省,吉林,17569.4,2017年
四川省,四川,557.7,2001年
四川省,四川,750.9,2002年
四川省,四川,939.2,2003年
四川省,四川,984.9,2004年
四川省,四川,1112.8,2005年
四川省,四川,1286.41,2006年
四川省,四川,3400.84,2007年
四川省,四川,4071.58,2008年
四川省,四川,4527.65,2009年
四川省,四川,5810.6,2010年
四川省,四川,10216.34,2011年
四川省,四川,12814.37,2012年
四川省,四川,24400.88,2013年
四川省,四川,37941.76,2014年
四川省,四川,48796.57,2015年
四川省,四川,80147.84,2016年
四川省,四川,110795.89,2017年
天津市,天津,254.3,2001年
天津市,天津,287.7,2002年
天津市,天津,321.5,2003年
天津市,天津,352.1,2004年
天津市,天津,410.2,2005年
天津市,天津,489.36,2006年
天津市,天津,2048.2,2007年
天津市,天津,2540.16,2008年
天津市,天津,2598.08,2009年
天津市,天津,3670.1,2010年
天津市,天津,5130.56,2011年
天津市,天津,6364.03,2012年
天津市,天津,8718.97,2013年
天津市,天津,12404.23,2014年
天津市,天津,25624.45,2015年
天津市,天津,41005.35,2016年
天津市,天津,50199.02,2017年
宁夏回族自治区,宁夏,41.9,2001年
宁夏回族自治区,宁夏,41.7,2002年
宁夏回族自治区,宁夏,52.1,2003年
宁夏回族自治区,宁夏,58.4,2004年
宁夏回族自治区,宁夏,59.3,2005年
宁夏回族自治区,宁夏,58.43,2006年
宁夏回族自治区,宁夏,194.63,2007年
宁夏回族自治区,宁夏,281.5,2008年
宁夏回族自治区,宁夏,356.04,2009年
宁夏回族自治区,宁夏,474.9,2010年
宁夏回族自治区,宁夏,678.96,2011年
宁夏回族自治区,宁夏,2967.83,2012年
宁夏回族自治区,宁夏,972.91,2013年
宁夏回族自治区,宁夏,1514.07,2014年
宁夏回族自治区,宁夏,2231.93,2015年
宁夏回族自治区,宁夏,3241.47,2016年
宁夏回族自治区,宁夏,3721.47,2017年
安徽省,安徽,401.3,2001年
安徽省,安徽,400.3,2002年
安徽省,安徽,426.3,2003年
安徽省,安徽,432.5,2004年
安徽省,安徽,506.4,2005年
安徽省,安徽,565.9,2006年
安徽省,安徽,1611.57,2007年
安徽省,安徽,1945.94,2008年
安徽省,安徽,2362.41,2009年
安徽省,安徽,3604.2,2010年
安徽省,安徽,6628.32,2011年
安徽省,安徽,9731.35,2012年
安徽省,安徽,13755.5,2013年
安徽省,安徽,23859.08,2014年
安徽省,安徽,39935.56,2015年
安徽省,安徽,68878.26,2016年
安徽省,安徽,86332.31,2017年
山东省,山东,673.4,2001年
山东省,山东,754.3,2002年
山东省,山东,1089.4,2003年
山东省,山东,1259.4,2004年
山东省,山东,1447.1,2005年
山东省,山东,1578.92,2006年
山东省,山东,5233.88,2007年
山东省,山东,6166.85,2008年
山东省,山东,7254.25,2009年
山东省,山东,11783.5,2010年
山东省,山东,18438.98,2011年
山东省,山东,24731.76,2012年
山东省,山东,31375.81,2013年
山东省,山东,44684.96,2014年
山东省,山东,73424.89,2015年
山东省,山东,120533.85,2016年
山东省,山东,151474.55,2017年
山西省,山西,154.8,2001年
山西省,山西,167.7,2002年
山西省,山西,199.9,2003年
山西省,山西,238.4,2004年
山西省,山西,298.6,2005年
山西省,山西,331.12,2006年
山西省,山西,1007.55,2007年
山西省,山西,1261.62,2008年
山西省,山西,1237.41,2009年
山西省,山西,1479.3,2010年
山西省,山西,2098.46,2011年
山西省,山西,2805.32,2012年
山西省,山西,8868.97,2013年
山西省,山西,9130.43,2014年
山西省,山西,11477.3,2015年
山西省,山西,18665.25,2016年
山西省,山西,24359.07,2017年
广东省,广东,1488.4,2001年
广东省,广东,1823.8,2002年
广东省,广东,2180.1,2003年
广东省,广东,2689.4,2004年
广东省,广东,3328.3,2005年
广东省,广东,4150.13,2006年
广东省,广东,22979.9,2007年
广东省,广东,32524.28,2008年
广东省,广东,42206.51,2009年
广东省,广东,59107.5,2010年
广东省,广东,75689.66,2011年
广东省,广东,133770.49,2012年
广东省,广东,210670.28,2013年
广东省,广东,335555.9,2014年
广东省,广东,501335.16,2015年
广东省,广东,767241.56,2016年
广东省,广东,1013468.0,2017年
广西壮族自治区,广西,215.2,2001年
广西壮族自治区,广西,241.0,2002年
广西壮族自治区,广西,414.6,2003年
广西壮族自治区,广西,583.1,2004年
广西壮族自治区,广西,620.7,2005年
广西壮族自治区,广西,702.95,2006年
广西壮族自治区,广西,1380.73,2007年
广西壮族自治区,广西,1536.96,2008年
广西壮族自治区,广西,1689.3,2009年
广西壮族自治区,广西,2277.9,2010年
广西壮族自治区,广西,3495.69,2011年
广西壮族自治区,广西,4395.13,2012年
广西壮族自治区,广西,6745.14,2013年
广西壮族自治区,广西,9055.41,2014年
广西壮族自治区,广西,12540.94,2015年
广西壮族自治区,广西,22835.4,2016年
广西壮族自治区,广西,31750.29,2017年
新疆维吾尔自治区,新疆,146.4,2001年
新疆维吾尔自治区,新疆,163.2,2002年
新疆维吾尔自治区,新疆,198.8,2003年
新疆维吾尔自治区,新疆,238.1,2004年
新疆维吾尔自治区,新疆,265.6,2005年
新疆维吾尔自治区,新疆,291.03,2006年
新疆维吾尔自治区,新疆,805.05,2007年
新疆维吾尔自治区,新疆,935.27,2008年
新疆维吾尔自治区,新疆,1022.4,2009年
新疆维吾尔自治区,新疆,1331.1,2010年
新疆维吾尔自治区,新疆,1919.62,2011年
新疆维吾尔自治区,新疆,2406.03,2012年
新疆维吾尔自治区,新疆,5092.13,2013年
新疆维吾尔自治区,新疆,5940.46,2014年
新疆维吾尔自治区,新疆,7050.69,2015年
新疆维吾尔自治区,新疆,8661.91,2016年
新疆维吾尔自治区,新疆,9042.35,2017年
江苏省,江苏,1004.0,2001年
江苏省,江苏,1103.4,2002年
江苏省,江苏,1302.9,2003年
江苏省,江苏,1464.0,2004年
江苏省,江苏,1719.2,2005年
江苏省,江苏,2085.28,2006年
江苏省,江苏,9430.67,2007年
江苏省,江苏,11926.59,2008年
江苏省,江苏,17498.18,2009年
江苏省,江苏,23796.5,2010年
江苏省,江苏,38508.96,2011年
江苏省,江苏,63870.5,2012年
江苏省,江苏,98415.47,2013年
江苏省,江苏,148435.2,2014年
江苏省,江苏,229047.65,2015年
江苏省,江苏,283823.24,2016年
江苏省,江苏,359627.79,2017年
江西省,江西,285.3,2001年
江西省,江西,313.5,2002年
江西省,江西,351.9,2003年
江西省,江西,390.1,2004年
江西省,江西,516.6,2005年
江西省,江西,584.54,2006年
江西省,江西,1475.69,2007年
江西省,江西,1773.67,2008年
江西省,江西,2203.31,2009年
江西省,江西,2350.5,2010年
江西省,江西,3716.09,2011年
江西省,江西,5472.6,2012年
江西省,江西,9751.46,2013年
江西省,江西,15993.64,2014年
江西省,江西,23471.76,2015年
江西省,江西,38304.64,2016年
江西省,江西,43754.46,2017年
河北省,河北,507.2,2001年
河北省,河北,488.3,2002年
河北省,河北,651.0,2003年
河北省,河北,739.9,2004年
河北省,河北,842.9,2005年
河北省,河北,1023.45,2006年
河北省,河北,2956.53,2007年
河北省,河北,3795.46,2008年
河北省,河北,4506.8,2009年
河北省,河北,4573.7,2010年
河北省,河北,8660.43,2011年
河北省,河北,12469.11,2012年
河北省,河北,20755.74,2013年
河北省,河北,34019.15,2014年
河北省,河北,54911.94,2015年
河北省,河北,90392.39,2016年
河北省,河北,119389.3,2017年
河南省,河南,538.8,2001年
河南省,河南,761.0,2002年
河南省,河南,944.9,2003年
河南省,河南,1104.6,2004年
河南省,河南,1162.6,2005年
河南省,河南,1135.56,2006年
河南省,河南,2939.71,2007年
河南省,河南,3442.01,2008年
河南省,河南,4079.91,2009年
河南省,河南,5765.0,2010年
河南省,河南,8377.87,2011年
河南省,河南,12503.37,2012年
河南省,河南,19443.87,2013年
河南省,河南,29484.0,2014年
河南省,河南,51449.7,2015年
河南省,河南,83875.32,2016年
河南省,河南,107377.62,2017年
浙江省,浙江,823.6,2001年
浙江省,浙江,865.5,2002年
浙江省,浙江,1014.2,2003年
浙江省,浙江,1164.2,2004年
浙江省,浙江,1256.2,2005年
浙江省,浙江,1439.7,2006年
浙江省,浙江,8408.35,2007年
浙江省,浙江,9859.9,2008年
浙江省,浙江,14764.71,2009年
浙江省,浙江,24898.2,2010年
浙江省,浙江,49660.84,2011年
浙江省,浙江,81986.75,2012年
浙江省,浙江,141952.82,2013年
浙江省,浙江,245744.79,2014年
浙江省,浙江,383145.91,2015年
浙江省,浙江,598770.04,2016年
浙江省,浙江,793231.11,2017年
海南省,海南,62.9,2001年
海南省,海南,71.1,2002年
海南省,海南,84.2,2003年
海南省,海南,95.7,2004年
海南省,海南,108.1,2005年
海南省,海南,123.47,2006年
海南省,海南,371.02,2007年
海南省,海南,384.21,2008年
海南省,海南,429.45,2009年
海南省,海南,681.2,2010年
海南省,海南,953.47,2011年
海南省,海南,1123.6,2012年
海南省,海南,2226.86,2013年
海南省,海南,2248.55,2014年
海南省,海南,2953.04,2015年
海南省,海南,4869.35,2016年
海南省,海南,5915.77,2017年
湖北省,湖北,490.9,2001年
湖北省,湖北,568.0,2002年
湖北省,湖北,671.3,2003年
湖北省,湖北,656.5,2004年
湖北省,湖北,685.4,2005年
湖北省,湖北,792.48,2006年
湖北省,湖北,2775.41,2007年
湖北省,湖北,3406.73,2008年
湖北省,湖北,3840.25,2009年
湖北省,湖北,5476.6,2010年
湖北省,湖北,8282.08,2011年
湖北省,湖北,11629.78,2012年
湖北省,湖北,21990.98,2013年
湖北省,湖北,33143.83,2014年
湖北省,湖北,50847.27,2015年
湖北省,湖北,77348.11,2016年
湖北省,湖北,101277.92,2017年
湖南省,湖南,398.6,2001年
湖南省,湖南,437.5,2002年
湖南省,湖南,563.4,2003年
湖南省,湖南,450.3,2004年
湖南省,湖南,562.0,2005年
湖南省,湖南,695.91,2006年
湖南省,湖南,1963.27,2007年
湖南省,湖南,2225.33,2008年
湖南省,湖南,2738.57,2009年
湖南省,湖南,4227.7,2010年
湖南省,湖南,6342.72,2011年
湖南省,湖南,10022.73,2012年
湖南省,湖南,15446.72,2013年
湖南省,湖南,22716.17,2014年
湖南省,湖南,31786.39,2015年
湖南省,湖南,48603.48,2016年
湖南省,湖南,59181.6,2017年
甘肃省,甘肃,103.5,2001年
甘肃省,甘肃,127.6,2002年
甘肃省,甘肃,196.0,2003年
甘肃省,甘肃,213.3,2004年
甘肃省,甘肃,227.1,2005年
甘肃省,甘肃,233.42,2006年
甘肃省,甘肃,607.57,2007年
甘肃省,甘肃,627.81,2008年
甘肃省,甘肃,696.55,2009年
甘肃省,甘肃,1012.9,2010年
甘肃省,甘肃,1135.21,2011年
甘肃省,甘肃,1470.28,2012年
甘肃省,甘肃,1788.53,2013年
甘肃省,甘肃,2655.61,2014年
甘肃省,甘肃,3541.43,2015年
甘肃省,甘肃,6065.1,2016年
甘肃省,甘肃,7201.68,2017年
福建省,福建,743.8,2001年
福建省,福建,543.0,2002年
福建省,福建,682.1,2003年
福建省,福建,789.4,2004年
福建省,福建,898.4,2005年
福建省,福建,1040.62,2006年
福建省,福建,4490.8,2007年
福建省,福建,5577.4,2008年
福建省,福建,6960.61,2009年
福建省,福建,10069.0,2010年
福建省,福建,15764.86,2011年
福建省,福建,25593.84,2012年
福建省,福建,44535.75,2013年
福建省,福建,65417.31,2014年
福建省,福建,88786.2,2015年
福建省,福建,128985.77,2016年
福建省,福建,166110.69,2017年
西藏自治区,西藏,16.5,2001年
西藏自治区,西藏,19.5,2002年
西藏自治区,西藏,28.0,2003年
西藏自治区,西藏,30.7,2004年
西藏自治区,西藏,38.3,2005年
西藏自治区,西藏,41.81,2006年
西藏自治区,西藏,147.6,2007年
西藏自治区,西藏,166.25,2008年
西藏自治区,西藏,184.01,2009年
西藏自治区,西藏,195.3,2010年
西藏自治区,西藏,284.32,2011年
西藏自治区,西藏,320.11,2012年
西藏自治区,西藏,378.84,2013年
西藏自治区,西藏,484.26,2014年
西藏自治区,西藏,578.23,2015年
西藏自治区,西藏,734.39,2016年
西藏自治区,西藏,567.51,2017年
贵州省,贵州,116.0,2001年
贵州省,贵州,155.1,2002年
贵州省,贵州,253.3,2003年
贵州省,贵州,326.8,2004年
贵州省,贵州,394.7,2005年
贵州省,贵州,424.83,2006年
贵州省,贵州,848.6,2007年
贵州省,贵州,917.35,2008年
贵州省,贵州,929.99,2009年
贵州省,贵州,1120.9,2010年
贵州省,贵州,1533.9,2011年
贵州省,贵州,1800.98,2012年
贵州省,贵州,2931.23,2013年
贵州省,贵州,4669.09,2014年
贵州省,贵州,7034.25,2015年
贵州省,贵州,11260.13,2016年
贵州省,贵州,15781.9,2017年
辽宁省,辽宁,466.6,2001年
辽宁省,辽宁,509.1,2002年
辽宁省,辽宁,619.8,2003年
辽宁省,辽宁,744.3,2004年
辽宁省,辽宁,804.4,2005年
辽宁省,辽宁,911.64,2006年
辽宁省,辽宁,2832.24,2007年
辽宁省,辽宁,3238.91,2008年
辽宁省,辽宁,3497.28,2009年
辽宁省,辽宁,4585.6,2010年
辽宁省,辽宁,6211.54,2011年
辽宁省,辽宁,7757.36,2012年
辽宁省,辽宁,11411.11,2013年
辽宁省,辽宁,16656.4,2014年
辽宁省,辽宁,24674.13,2015年
辽宁省,辽宁,39825.89,2016年
辽宁省,辽宁,51434.46,2017年
重庆市,重庆,259.9,2001年
重庆市,重庆,228.6,2002年
重庆市,重庆,271.4,2003年
重庆市,重庆,333.7,2004年
重庆市,重庆,348.3,2005年
重庆市,重庆,386.19,2006年
重庆市,重庆,1401.43,2007年
重庆市,重庆,1608.43,2008年
重庆市,重庆,2240.17,2009年
重庆市,重庆,2829.4,2010年
重庆市,重庆,4068.25,2011年
重庆市,重庆,5497.88,2012年
重庆市,重庆,10614.82,2013年
重庆市,重庆,13886.31,2014年
重庆市,重庆,20525.41,2015年
重庆市,重庆,28382.53,2016年
重庆市,重庆,32874.9,2017年
陕西省,陕西,284.5,2001年
陕西省,陕西,298.3,2002年
陕西省,陕西,335.3,2003年
陕西省,陕西,365.6,2004年
陕西省,陕西,396.7,2005年
陕西省,陕西,489.47,2006年
陕西省,陕西,1644.84,2007年
陕西省,陕西,1974.61,2008年
陕西省,陕西,2070.01,2009年
