数据库：分省年度数据
指标：柑桔园面积(千公顷)
时间：最近20年
地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年
北京市,,,,,,,,,,,,,,,,,,,,
天津市,,,,,,,,,,,,,,,,,,,,
河北省,,,,,,,,,,,,,,,,,,,,
山西省,,,,,,,,,,,,,,,,,,,,
内蒙古自治区,,,,,,,,,,,,,,,,,,,,
辽宁省,,,,,,,,,,,,,,,,,,,,
吉林省,,,,,,,,,,,,,,,,,,,,
黑龙江省,,,,,,,,,,,,,,,,,,,,
上海市,,,4.20,5.30,6.10,6.70,7.26,7.52,8.95,9.91,10.73,10.92,10.64,8.67,11.43,9.54,6.01,4.40,4.80,4.49
江苏省,,,2.50,2.70,2.90,3.00,3.54,3.40,3.59,4.64,3.71,3.71,5.44,3.88,3.58,3.23,3.26,3.47,3.25,3.18
浙江省,,,93.50,101.20,102.80,106.00,109.38,112.20,114.54,116.70,122.13,122.45,120.20,123.01,124.13,125.04,123.96,123.88,125.23,132.90
安徽省,,,3.90,3.70,3.70,3.40,2.97,2.70,2.70,2.71,2.50,3.21,3.36,3.98,2.30,2.22,2.30,2.55,1.82,1.96
福建省,,,191.40,191.80,187.80,183.90,179.62,175.80,175.36,175.17,173.50,170.42,170.23,170.33,165.60,164.03,163.81,164.15,137.89,148.55
江西省,,,330.70,333.10,336.80,328.70,317.25,307.96,300.60,296.36,281.93,262.52,229.29,215.05,217.26,185.98,166.44,154.54,169.33,177.78
山东省,,,,,,,,,,,,,,,,,,,,
河南省,,,11.60,11.60,11.80,11.50,10.99,10.78,10.85,10.66,10.10,9.95,9.72,10.05,9.52,8.13,4.02,4.74,4.88,4.57
湖北省,,,242.30,240.00,245.60,239.70,243.59,244.48,229.19,225.63,211.08,188.99,159.00,143.15,124.66,109.59,100.27,98.51,99.13,102.40
湖南省,,,380.20,382.30,421.10,414.00,400.03,390.81,379.04,376.18,335.85,325.85,313.80,296.23,276.44,259.93,261.76,253.52,247.87,245.76
广东省,,,291.70,304.80,302.20,298.10,254.70,290.05,282.57,276.04,248.04,243.64,224.46,195.47,175.69,149.90,105.89,94.33,82.23,79.41
广西壮族自治区,,,370.40,332.90,289.50,262.50,217.11,206.64,197.87,189.23,178.41,165.34,151.47,141.27,134.27,122.03,118.01,115.65,110.02,105.10
海南省,,,6.20,6.20,5.40,5.50,5.33,5.21,5.12,4.36,3.83,3.72,3.61,3.67,3.08,2.47,2.57,2.57,2.23,0.61
重庆市,,,202.60,178.00,192.50,158.30,161.40,147.50,138.03,126.33,120.30,113.85,109.94,108.91,98.06,96.27,92.57,68.81,63.15,60.01
四川省,,,282.30,278.40,273.20,272.00,271.60,267.85,253.19,244.54,231.40,223.32,215.64,206.92,201.50,191.66,180.73,163.81,155.23,152.53
贵州省,,,62.60,58.40,59.50,50.40,45.04,43.15,40.86,38.57,38.46,37.90,36.99,38.66,35.53,33.89,34.93,33.41,32.89,34.23
云南省,,,47.10,44.70,42.00,40.50,39.49,36.46,34.30,34.10,32.94,32.08,29.11,27.85,25.85,25.05,23.24,21.58,19.54,17.61
西藏自治区,,,0.20,0.20,0.20,,0.01,0.03,0.03,,0.01,,,,,,,,,
陕西省,,,37.40,37.80,38.20,37.60,36.69,35.50,33.94,28.86,25.65,23.27,21.49,19.69,18.12,16.55,14.55,13.53,12.05,11.03
甘肃省,,,0.20,0.20,0.20,0.20,0.25,0.27,0.27,0.27,0.25,0.25,0.21,0.21,0.21,0.21,0.21,0.23,0.24,0.71
青海省,,,,,,,,,,,,,,,,,,,,
宁夏回族自治区,,,,,,,,,,,,,,,,,,,,
新疆维吾尔自治区,,,,,,,,,,,,,,,,,,,,
数据来源：国家统计局
