数据库：分省年度数据
指标：果园面积(千公顷)
时间：最近10年
地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年
北京市,,47.71,52.51,57.14,60.20,60.18,62.47,63.46,64.93,66.71
天津市,,31.46,33.62,33.35,34.20,34.15,33.71,32.87,34.36,33.01
河北省,,560.03,1090.14,1094.23,1063.50,1063.50,1051.76,1047.36,1064.40,1035.58
山西省,,359.53,355.82,362.76,348.30,348.34,342.36,322.57,294.38,281.16
内蒙古自治区,,59.78,75.85,75.79,72.70,72.68,70.90,66.82,65.93,52.18
辽宁省,,350.69,380.34,405.46,400.40,400.45,368.52,359.86,354.15,349.70
吉林省,,18.61,46.55,47.95,52.70,52.69,53.78,55.29,58.65,57.86
黑龙江省,,27.20,34.17,33.93,34.20,34.24,35.33,34.98,36.15,35.34
上海市,,,16.84,18.99,21.10,21.10,21.35,20.90,23.16,24.65
江苏省,,209.15,209.97,209.42,222.10,222.05,209.83,202.98,191.51,192.74
浙江省,,325.71,327.66,332.54,321.40,321.40,321.45,320.86,320.92,318.05
安徽省,,138.02,132.44,128.08,118.20,118.22,116.47,110.01,107.13,104.50
福建省,,310.45,541.70,545.67,539.20,539.20,534.93,531.18,536.15,538.04
江西省,,396.92,410.89,414.70,405.20,405.20,392.84,381.60,373.62,374.55
山东省,,579.41,653.29,652.64,633.90,633.85,596.28,591.97,580.99,591.55
河南省,,442.67,447.54,455.63,475.70,475.70,466.70,465.53,455.26,449.03
湖北省,,345.82,423.43,413.41,403.60,403.55,400.75,398.84,375.73,367.60
湖南省,,500.74,536.44,533.07,563.90,563.85,545.96,537.14,519.65,510.91
广东省,,960.52,1130.59,1136.62,1119.80,1119.83,1100.24,1096.62,1084.81,1081.30
广西壮族自治区,,1174.42,1232.59,1165.51,1039.50,1039.47,997.23,970.00,938.07,917.71
海南省,,165.32,160.20,162.20,171.10,171.10,179.79,182.84,174.54,170.63
重庆市,,290.30,308.42,295.54,296.40,296.38,282.20,264.77,248.65,230.88
四川省,,693.71,663.18,646.09,613.50,613.46,608.23,580.93,552.28,537.07
贵州省,,406.35,324.16,300.48,228.10,228.13,192.96,169.02,151.83,140.83
云南省,,570.01,515.64,472.29,406.50,406.53,392.49,348.48,315.19,309.40
西藏自治区,,,3.22,3.22,2.00,1.97,2.02,2.15,2.15,1.54
陕西省,,1086.88,1263.77,1243.46,1193.90,1193.89,1160.19,1121.24,1083.33,1011.36
甘肃省,,303.33,472.89,458.67,451.80,451.76,446.94,430.01,419.95,411.55
青海省,,6.24,7.59,8.23,6.80,6.84,6.84,5.05,5.09,4.51
宁夏回族自治区,,79.59,136.33,137.83,137.70,137.68,130.27,124.92,119.47,100.28
新疆维吾尔自治区,,695.36,993.76,971.78,934.00,933.98,1015.15,990.31,991.72,839.29
数据来源：国家统计局
