数据库：分省年度数据
指标：苹果园面积(千公顷)
时间：最近20年
地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年
北京市,,,6.70,6.90,7.20,7.20,7.75,7.82,8.08,8.19,9.24,10.30,9.53,10.80,12.93,13.21,13.56,16.05,18.20,19.00
天津市,,,4.40,4.30,5.00,5.00,4.65,4.53,4.71,5.25,5.39,5.53,6.22,6.41,6.19,7.25,8.31,9.31,10.40,11.72
河北省,,,241.80,242.60,237.40,237.40,235.75,236.74,265.41,235.45,243.84,250.00,253.13,263.93,266.54,276.44,288.25,316.54,328.27,341.13
山西省,,,150.30,155.50,154.10,154.10,150.69,144.73,137.64,145.23,148.21,144.31,145.97,151.40,152.67,154.08,158.42,164.74,177.98,187.72
内蒙古自治区,,,26.50,25.70,18.40,18.40,18.07,18.95,22.56,22.63,23.12,21.31,22.93,22.52,21.43,18.84,16.51,20.86,23.94,23.80
辽宁省,,,155.40,161.00,155.00,155.00,139.00,133.96,125.90,121.88,114.00,107.12,109.09,110.32,111.77,115.11,131.89,161.94,195.06,209.04
吉林省,,,12.10,12.10,13.70,13.70,13.61,12.78,13.70,13.39,14.47,14.20,17.73,18.58,20.38,25.29,26.09,22.22,24.07,18.83
黑龙江省,,,10.40,12.40,11.60,11.60,11.64,10.85,11.42,12.00,11.95,13.17,13.33,15.49,16.08,18.37,28.83,25.20,28.60,32.23
上海市,,,,,,,0.00,,,0.02,0.02,0.02,0.02,0.01,0.03,0.03,0.02,0.01,,
江苏省,,,30.90,32.10,33.00,33.00,34.33,35.84,34.02,34.82,34.75,35.13,36.52,38.44,37.99,38.90,46.69,47.73,49.57,63.59
浙江省,,,,,,,,,,,,,,,,0.19,0.21,0.24,0.33,0.35
安徽省,,,13.70,13.80,15.60,15.60,15.49,16.83,16.81,16.10,17.12,13.31,13.43,13.91,16.07,17.09,17.93,20.68,23.60,24.74
福建省,,,,,,,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.05,0.04,0.12,0.20,0.23,0.23
江西省,,,,,,,,,,,,,,,,,,,,
山东省,,,301.30,299.70,303.40,303.40,279.60,276.27,264.63,270.40,276.32,304.88,311.08,342.47,340.48,357.27,368.95,397.68,444.34,498.20
河南省,,,156.50,170.20,176.70,176.70,178.84,180.54,177.63,175.70,173.06,182.26,167.74,165.78,164.74,164.45,168.32,180.18,206.97,240.69
湖北省,,,1.30,1.20,1.60,1.60,2.01,1.94,1.68,2.21,3.34,3.04,3.20,3.30,3.60,4.19,4.29,6.78,8.98,11.04
湖南省,,,,,,,,,,,,,,,,,,,,
广东省,,,,,,,,,,,,,,,,,,,,
广西壮族自治区,,,,,,,,,,,,,,,,,,,,
海南省,,,,,,,,,,,,,,,,,,,,
重庆市,,,0.80,0.70,0.70,0.70,1.01,1.39,1.59,2.01,1.58,1.77,1.70,1.90,1.76,2.65,1.78,1.98,2.25,2.17
四川省,,,37.60,37.10,32.70,32.70,32.93,30.50,29.18,28.56,28.60,27.78,26.25,26.58,26.35,26.84,25.74,26.89,28.55,28.68
贵州省,,,14.30,12.10,9.20,9.20,9.56,6.53,6.64,6.89,6.31,6.38,6.02,5.71,5.95,4.85,7.38,7.69,8.08,7.18
云南省,,,50.80,46.90,41.90,41.90,40.56,31.88,30.93,30.48,29.95,31.12,30.25,31.50,33.14,33.71,37.26,42.28,50.28,45.14
西藏自治区,,,1.60,1.60,1.10,1.10,1.32,1.40,1.40,0.07,1.12,1.00,0.95,0.74,0.59,0.61,0.59,0.83,1.05,1.13
陕西省,,,704.80,695.10,665.20,665.20,645.21,623.19,601.52,564.93,530.87,484.86,462.15,426.27,412.10,401.50,369.03,374.29,395.46,413.63
甘肃省,,,294.20,294.80,290.20,290.20,283.94,274.81,268.64,261.59,246.52,247.64,207.37,183.77,173.19,167.45,163.53,165.91,167.64,194.95
青海省,,,1.20,0.80,1.60,1.60,1.66,2.04,2.07,2.49,2.52,2.66,2.92,2.81,5.30,3.87,3.87,3.91,3.99,4.11
宁夏回族自治区,,,38.50,38.00,41.80,41.80,39.81,40.46,40.43,33.52,31.49,21.54,20.25,19.12,18.33,20.36,20.36,20.91,21.73,23.67
新疆维吾尔自治区,,,68.80,63.60,55.00,55.00,83.92,83.33,73.35,55.29,38.46,32.48,31.07,28.58,28.94,27.79,30.38,31.17,34.56,36.17
数据来源：国家统计局
