数据库：分省年度数据
指标：苹果产量(万吨)
时间：最近20年
地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年
北京市,,7.05,7.25,8.04,7.50,8.73,10.30,10.46,10.38,11.97,12.05,11.95,13.11,13.84,13.48,13.48,14.44,15.32,15.77,15.17
天津市,,5.63,5.33,4.28,5.04,4.76,4.96,5.53,5.55,6.34,6.29,5.97,6.41,6.60,6.47,6.81,6.71,6.84,7.95,8.10
河北省,,228.15,365.58,366.58,345.73,320.14,311.46,292.64,272.46,276.80,261.60,247.88,235.76,220.23,214.29,200.28,196.56,184.54,180.62,187.12
山西省,,444.94,428.62,431.21,417.25,396.22,375.24,333.94,256.65,238.48,222.88,187.27,186.70,164.84,202.14,180.18,172.42,155.16,162.96,174.83
内蒙古自治区,,15.49,17.47,19.96,18.90,15.17,14.37,10.57,7.77,7.86,6.99,6.17,6.60,6.23,5.93,5.19,4.04,4.31,4.69,4.18
辽宁省,,240.95,256.60,248.41,247.60,275.23,263.41,239.68,209.47,194.81,170.91,151.49,130.14,129.96,122.21,108.99,100.51,113.47,123.15,146.98
吉林省,,4.56,13.64,14.26,15.74,17.15,16.67,14.42,15.35,14.58,13.52,13.32,26.81,25.23,24.15,19.01,16.84,9.72,10.05,11.46
黑龙江省,,14.45,14.95,17.62,14.89,14.06,15.07,11.40,11.70,14.07,13.83,15.05,15.98,17.74,16.00,16.91,18.31,10.97,11.21,9.70
上海市,,,0.00,0.00,0.00,0.00,0.00,0.00,,0.01,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.00,
江苏省,,58.00,56.41,59.95,59.77,54.18,60.12,61.67,56.63,57.23,57.53,61.85,57.26,55.28,56.09,49.46,61.46,68.02,69.53,67.96
浙江省,,,,,,,,,,,,,0.00,,,0.08,0.11,0.09,0.08,0.10
安徽省,,19.99,37.40,37.51,39.23,36.05,38.66,41.12,40.69,36.90,30.49,40.36,34.18,27.81,28.35,22.13,29.66,25.97,30.20,30.85
福建省,,,0.00,0.00,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.04,0.03
江西省,,,,,,,,,,,,,0.00,,,,,,,
山东省,,939.52,978.13,958.43,929.70,930.47,871.04,837.94,798.84,771.05,763.18,724.92,693.05,671.66,669.06,611.86,500.00,616.38,647.66,643.27
河南省,,434.53,438.58,449.65,441.74,443.15,436.70,420.32,408.96,388.63,374.39,352.33,322.79,300.62,286.93,250.96,260.36,252.41,238.90,242.77
湖北省,,1.24,1.28,1.31,0.99,1.02,1.06,0.99,0.97,1.14,0.89,1.04,1.19,1.24,1.09,1.35,1.24,2.18,3.02,3.04
湖南省,,,,,,,,,,,,,0.00,,,,,,,
广东省,,,,,,,,,,,,,0.00,,,,,,,
广西壮族自治区,,,,,,,,,,,,,0.00,,,,,,,
海南省,,,,,,,,,,,,,0.00,,,,,,,
重庆市,,0.42,0.50,0.48,0.46,0.49,0.50,0.57,0.53,0.69,0.58,0.67,0.63,0.61,0.69,0.64,0.62,0.62,0.70,0.57
四川省,,65.22,62.73,61.29,58.33,51.87,48.83,45.68,42.93,40.89,38.90,29.70,24.80,24.29,24.05,22.54,20.69,19.40,20.23,18.68
贵州省,,7.07,5.95,5.27,4.39,3.25,2.49,2.17,1.55,1.62,1.22,1.10,1.06,1.02,1.03,0.93,0.94,0.79,0.77,0.70
云南省,,59.70,42.09,41.38,38.74,33.65,32.24,25.29,25.79,26.93,26.80,23.49,20.20,15.94,14.12,11.34,10.48,10.35,10.11,8.59
西藏自治区,,,0.63,0.63,0.55,0.55,0.44,0.55,0.55,0.44,0.44,0.40,0.39,0.57,0.53,0.56,0.51,0.54,0.53,0.55
陕西省,,1092.46,1100.78,1037.30,988.01,942.82,965.09,902.93,856.01,805.17,745.51,701.57,649.98,560.12,555.21,461.79,392.16,391.27,388.57,399.27
甘肃省,,311.13,360.11,328.59,297.08,269.60,248.75,227.60,201.66,185.62,164.14,142.43,125.41,101.26,79.97,83.00,77.60,72.39,69.07,62.90
青海省,,0.36,0.44,0.64,0.48,0.54,0.59,0.58,0.57,0.57,0.58,0.58,0.59,0.73,0.72,0.82,0.91,0.97,1.41,1.59
宁夏回族自治区,,43.98,57.17,53.42,53.90,51.05,48.94,40.89,35.44,32.75,28.35,27.55,20.07,22.21,15.63,15.49,12.47,12.66,15.95,17.05
新疆维吾尔自治区,,144.17,136.58,115.13,106.26,98.08,82.10,71.51,65.87,53.51,43.54,38.89,32.79,33.02,29.39,26.34,25.04,27.10,29.97,24.68
数据来源：国家统计局
