数据库：分省年度数据
指标：葡萄园面积(千公顷)
时间：最近20年
地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年
北京市,,,3.00,3.30,3.20,3.30,3.18,3.02,2.73,2.73,2.98,2.66,2.98,3.15,3.05,4.50,4.81,4.08,3.10,1.90
天津市,,,5.30,5.30,5.20,4.80,,5.15,5.31,5.18,5.09,5.38,5.19,5.10,5.64,5.88,5.72,6.00,5.27,4.02
河北省,,,88.30,86.50,83.80,81.40,76.81,73.73,70.37,63.43,60.96,57.91,58.12,54.21,53.28,52.13,51.52,46.34,42.82,39.41
山西省,,,12.30,12.00,11.60,11.10,10.02,9.75,9.55,10.35,10.06,9.76,10.23,13.19,14.17,13.71,14.05,9.41,7.10,6.21
内蒙古自治区,,,9.60,10.10,8.40,9.20,8.19,7.42,7.55,5.99,4.83,4.83,4.50,5.34,4.89,3.52,3.56,5.04,3.05,2.60
辽宁省,,,34.20,38.40,37.70,36.80,35.32,27.38,26.56,26.80,26.60,25.20,26.84,28.14,36.76,37.37,35.63,29.71,27.84,20.81
吉林省,,,11.90,12.60,13.00,12.80,12.33,12.17,11.75,11.21,12.45,11.08,11.02,10.16,10.61,13.81,12.74,9.75,11.82,9.16
黑龙江省,,,5.60,4.60,4.90,3.90,3.96,2.97,2.99,2.48,2.73,1.78,1.63,1.71,1.63,2.10,1.59,1.64,2.02,1.48
上海市,,,4.50,5.20,5.40,5.20,4.99,4.61,4.42,4.18,3.76,2.72,2.05,1.78,1.73,1.51,1.81,1.39,1.10,1.13
江苏省,,,34.90,38.00,37.60,34.10,31.15,25.43,21.65,18.10,14.91,12.72,13.03,11.44,10.94,10.80,9.60,8.19,5.93,5.93
浙江省,,,32.50,31.50,30.00,27.20,25.52,22.48,20.02,16.99,14.61,12.10,10.36,9.79,9.25,8.18,7.07,6.22,5.14,4.58
安徽省,,,20.20,19.10,17.10,14.80,13.45,9.60,9.43,6.78,6.24,5.19,5.84,6.02,9.11,7.58,8.01,5.06,4.60,3.54
福建省,,,9.10,9.10,8.50,8.10,6.90,6.30,5.84,5.56,5.48,5.25,5.53,4.99,4.83,4.47,3.87,3.11,2.61,2.18
江西省,,,7.10,6.60,6.40,4.60,4.22,,2.53,2.37,1.87,1.60,1.92,1.87,1.92,1.80,1.81,1.76,2.87,2.03
山东省,,,41.00,43.30,41.00,39.90,37.52,35.81,35.95,37.90,36.66,44.23,42.33,46.45,50.91,65.91,54.60,49.67,36.52,29.22
河南省,,,37.90,36.30,33.90,32.40,29.60,30.22,29.90,29.58,26.82,26.22,24.97,26.17,25.01,21.58,20.37,18.15,16.75,12.24
湖北省,,,13.90,11.90,12.70,10.00,10.21,8.45,5.57,6.24,5.85,5.65,5.16,4.77,5.22,5.68,4.88,4.92,5.11,5.27
湖南省,,,26.00,25.10,23.50,25.60,22.32,20.10,16.68,15.22,14.53,18.89,12.96,12.43,11.69,9.79,8.34,5.28,3.96,3.43
广东省,,,,,,,,,,,,,,,,,,,,
广西壮族自治区,,,34.90,33.00,29.70,27.00,24.50,20.66,17.16,12.87,11.64,11.09,11.52,9.99,8.91,8.62,8.58,7.77,5.19,2.73
海南省,,,,,,,,,,,,,,,,,,,,
重庆市,,,9.80,10.20,8.60,6.90,6.31,5.65,4.68,3.93,2.51,2.68,2.60,2.26,2.06,2.56,1.74,1.47,1.17,1.01
四川省,,,31.00,29.80,29.00,26.70,24.91,20.67,18.15,16.21,14.83,13.42,12.88,12.08,11.74,11.05,9.75,9.08,7.67,6.37
贵州省,,,31.80,28.70,23.70,16.60,13.28,11.06,9.53,7.57,6.45,5.88,4.49,4.49,3.78,3.37,3.15,3.17,3.54,2.51
云南省,,,40.80,38.80,35.60,28.20,27.09,19.20,12.33,9.60,7.92,6.99,6.34,5.61,5.33,5.29,4.92,6.25,3.76,2.56
西藏自治区,,,0.30,0.30,0.30,,0.03,0.03,0.03,,0.02,0.10,,,,,,,,
陕西省,,,51.70,49.20,46.60,40.20,35.25,31.62,28.84,23.85,17.67,15.11,14.73,13.90,12.68,11.40,10.28,6.87,5.31,4.38
甘肃省,,,29.80,27.70,26.70,25.80,25.96,20.78,18.41,13.42,10.96,10.17,8.88,8.89,9.21,9.35,8.97,6.87,4.22,2.99
青海省,,,0.10,0.10,0.10,0.10,0.05,0.06,0.06,0.03,,0.02,,,0.05,0.05,0.04,0.02,0.03,
宁夏回族自治区,,,33.20,32.40,34.00,33.40,29.22,27.11,28.72,20.21,14.03,10.21,8.75,7.75,6.92,7.12,6.99,6.61,5.42,4.18
新疆维吾尔自治区,,,149.00,150.20,149.10,144.80,143.32,135.51,125.27,114.68,108.76,109.57,103.88,96.24,92.18,91.71,87.94,70.55,59.05,41.34
数据来源：国家统计局
