数据库：分省年度数据
指标：水果产量(万吨)
时间：最近20年
地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年
北京市,,74.40,78.97,87.94,96.45,103.85,113.60,120.87,115.17,120.13,118.80,124.89,113.38,111.88,113.36,114.16,109.85,107.81,58.59,83.40
天津市,,58.25,61.50,62.69,62.70,54.17,58.19,62.64,60.04,67.05,62.30,61.91,66.96,68.24,69.05,84.33,79.48,91.95,28.28,49.08
河北省,,1365.34,2138.51,2117.19,2018.98,1863.31,1814.90,1719.16,1612.42,1578.62,1532.89,1491.54,1428.85,1397.88,1346.34,1270.74,1169.30,1074.77,677.31,953.73
山西省,,844.02,840.77,842.57,770.77,711.84,677.33,617.86,474.86,449.20,410.64,342.23,353.75,314.45,342.86,328.80,334.60,275.27,204.49,279.70
内蒙古自治区,,322.88,316.28,296.74,322.32,294.77,283.50,301.45,278.17,208.67,238.16,208.06,220.48,178.79,129.34,123.33,138.51,126.40,21.45,142.59
辽宁省,,770.27,802.26,882.02,870.56,944.65,894.29,810.74,733.10,655.60,591.65,532.72,478.41,451.29,430.15,396.94,356.20,337.95,249.97,305.27
吉林省,,89.52,241.10,208.97,229.75,234.66,217.47,225.71,218.04,253.48,273.87,232.77,223.83,235.33,215.00,253.16,265.01,200.79,48.56,175.63
黑龙江省,,236.91,259.88,213.46,258.74,274.37,268.58,279.88,279.64,267.67,367.55,373.29,413.76,352.56,315.58,356.72,385.18,357.18,19.21,239.09
上海市,,46.39,50.64,61.54,86.16,74.73,87.19,87.97,101.93,104.69,111.14,112.38,108.26,101.03,111.44,114.48,102.70,101.97,22.54,59.09
江苏省,,942.50,893.00,914.78,861.62,814.19,795.98,757.08,738.57,715.71,682.86,642.68,628.45,606.35,619.99,601.95,692.44,612.60,176.44,468.09
浙江省,,751.29,724.32,740.86,714.84,715.65,703.84,712.36,701.31,712.41,747.92,701.49,650.03,577.96,632.07,568.38,494.10,516.64,170.37,422.41
安徽省,,606.35,1043.49,1029.80,965.28,905.06,885.40,846.62,805.30,745.76,691.86,749.51,733.59,711.59,719.57,609.07,819.24,756.24,110.61,649.04
福建省,,644.67,853.81,837.05,790.85,744.31,708.83,687.88,642.77,645.04,632.46,594.20,570.77,559.08,552.91,521.99,498.98,468.14,356.44,452.84
江西省,,670.12,617.40,663.42,627.07,637.77,571.29,580.58,468.40,497.45,444.53,381.16,316.88,325.43,290.99,273.16,267.82,259.38,42.34,223.03
山东省,,2804.30,3255.43,3218.61,3134.05,3028.84,2924.51,2850.83,2793.85,2728.25,2612.62,2541.17,2513.40,2546.84,2478.53,2526.00,2207.47,2243.64,966.63,1954.49
河南省,,2602.44,2871.26,2665.10,2560.19,2599.66,2535.04,2414.12,2393.99,2228.09,2129.59,2088.59,2005.60,1842.17,1638.59,1318.51,1673.96,1516.07,364.73,1286.97
湖北省,,948.44,1010.40,966.26,972.34,920.46,885.68,855.18,778.52,725.81,686.22,654.73,625.25,566.77,542.69,611.57,621.70,672.46,215.68,590.75
湖南省,,956.39,1048.18,981.04,920.05,879.44,909.25,868.83,788.41,715.73,663.09,630.62,586.24,519.49,499.35,512.38,479.01,455.17,150.50,383.47
广东省,,1538.73,1717.01,1648.53,1560.72,1485.40,1390.09,1314.28,1235.90,1160.83,1081.28,1057.15,1001.08,946.46,908.96,836.94,808.28,781.64,643.52,704.15
广西壮族自治区,,1900.40,1882.50,1720.02,1560.60,1433.42,1325.03,1222.98,1094.41,1010.74,855.77,861.49,772.26,766.84,702.33,641.16,612.51,551.02,360.14,527.96
海南省,,405.48,395.39,405.93,413.00,439.48,428.71,403.69,375.07,350.41,325.20,306.82,247.23,220.36,190.64,193.48,182.74,187.60,105.52,117.02
重庆市,,403.38,408.69,375.95,347.61,319.26,291.19,261.13,238.47,212.87,193.28,175.89,145.74,154.63,137.22,128.59,113.41,97.36,81.68,94.45
