数据库：分省年度数据
指标：香蕉产量(万吨)
时间：最近20年
地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年
北京市,,,,0.00,,,,,,,,,0.00,,,,,,,
天津市,,,,,,,,,,,,,0.00,,,,,,,
河北省,,,,,,,,,,,,,0.00,,,,,,,
山西省,,,,,,,,,,,,,0.00,,,,,,,
内蒙古自治区,,,,,,,,,,,,,0.00,,,,,,,
辽宁省,,,,,,,,,,,,,0.00,,,,,,,
吉林省,,,,,,,,,,,,,0.00,,,,,,,
黑龙江省,,,,,,,,,,,,,0.00,,,,,,,
上海市,,,,,,,,,,,,,0.00,,,,,,,
江苏省,,,,,,,,,,,,,0.00,,,,,,,
浙江省,,,,,,,,,,,,,0.00,,,,,,,
安徽省,,,,,,,,,,,,,0.00,,,,,,,
福建省,,38.71,96.59,95.01,91.71,91.51,90.26,86.97,88.21,90.60,88.23,88.42,85.11,85.54,81.99,83.76,76.50,79.74,74.65,69.26
江西省,,,,,,,,,,,,,0.00,,,,,,,
山东省,,,,,,,,,,,,,0.00,,,,,,,
河南省,,,,,,,,,,,,,0.00,,,,,,,
湖北省,,,,,,,,,,,,,0.00,,,,,,,
湖南省,,,,,,,,,,,,,0.00,,,,,,,
广东省,,395.24,481.65,451.67,426.32,420.29,403.16,384.89,371.27,357.88,348.14,351.18,335.32,330.23,320.92,301.80,271.77,228.74,235.30,205.13
广西壮族自治区,,371.57,319.93,295.57,259.23,247.70,230.28,205.75,186.49,155.63,97.01,140.46,124.30,117.39,107.83,103.57,107.34,112.96,111.16,96.56
海南省,,127.17,125.63,140.10,160.04,202.75,209.10,189.23,172.29,159.58,151.62,142.21,108.63,91.33,73.33,84.19,85.37,91.26,60.03,35.82
重庆市,,1.18,0.12,0.13,0.14,0.19,0.10,0.19,0.17,0.16,0.16,0.20,0.17,0.19,0.17,0.15,0.13,0.14,0.20,0.23
四川省,,4.57,4.79,4.46,4.21,4.03,3.99,3.65,3.43,3.15,2.65,2.31,1.91,1.75,1.58,1.38,1.18,0.97,0.85,0.78
贵州省,,1.73,0.95,0.85,0.58,0.56,0.61,0.59,0.61,0.79,0.80,0.88,0.87,0.87,0.89,0.85,0.84,1.03,0.99,1.14
云南省,,176.81,270.04,258.83,236.96,240.50,218.29,168.74,133.58,115.59,94.85,54.00,33.81,24.52,18.90,14.62,12.60,12.41,10.97,10.51
西藏自治区,,,,,,,,,,,,,0.00,,,,,,,
陕西省,,,,,,,,,,,,,0.00,,,,,,,
甘肃省,,,,,,,,,,,,,0.00,,,,,,,
青海省,,,,,,,,,,,,,0.00,,,,,,,
宁夏回族自治区,,,,,,,,,,,,,0.00,,,,,,,
新疆维吾尔自治区,,,,,,,,,,,,,0.00,,,,,,,
数据来源：国家统计局
