,地区,种类,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年
0,上海市,果园面积,,,,,,,,,,,24.65,23.16,20.9,21.35,21.1,21.1,18.99,16.84,,
1,上海市,水果产量,59.09,22.54,101.97,102.7,114.48,111.44,101.03,108.26,112.38,111.14,104.69,101.93,87.97,87.19,74.73,86.16,61.54,50.64,46.39,
2,上海市,苹果产量,,0.0,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.01,,0.0,0.0,0.0,0.0,0.0,0.0,,
3,上海市,苹果园面积,,,0.01,0.02,0.03,0.03,0.01,0.02,0.02,0.02,0.02,,,0.0,,,,,,
4,上海市,葡萄园面积,1.13,1.1,1.39,1.81,1.51,1.73,1.78,2.05,2.72,3.76,4.18,4.42,4.61,4.99,5.2,5.4,5.2,4.5,,
5,上海市,香蕉产量,,,,,,,,0.0,,,,,,,,,,,,
6,云南省,果园面积,,,,,,,,,,,309.4,315.19,348.48,392.49,406.53,406.5,472.29,515.64,570.01,
7,云南省,水果产量,97.43,76.95,127.21,119.4,126.21,145.06,169.69,201.86,251.97,313.44,342.74,397.91,476.43,581.12,634.52,669.02,726.54,759.11,783.9,
8,云南省,苹果产量,8.59,10.11,10.35,10.48,11.34,14.12,15.94,20.2,23.49,26.8,26.93,25.79,25.29,32.24,33.65,38.74,41.38,42.09,59.7,
9,云南省,苹果园面积,45.14,50.28,42.28,37.26,33.71,33.14,31.5,30.25,31.12,29.95,30.48,30.93,31.88,40.56,41.9,41.9,46.9,50.8,,
10,云南省,葡萄园面积,2.56,3.76,6.25,4.92,5.29,5.33,5.61,6.34,6.99,7.92,9.6,12.33,19.2,27.09,28.2,35.6,38.8,40.8,,
11,云南省,香蕉产量,10.51,10.97,12.41,12.6,14.62,18.9,24.52,33.81,54.0,94.85,115.59,133.58,168.74,218.29,240.5,236.96,258.83,270.04,176.81,
12,内蒙古自治区,果园面积,,,,,,,,,,,52.18,65.93,66.82,70.9,72.68,72.7,75.79,75.85,59.78,
13,内蒙古自治区,水果产量,142.59,21.45,126.4,138.51,123.33,129.34,178.79,220.48,208.06,238.16,208.67,278.17,301.45,283.5,294.77,322.32,296.74,316.28,322.88,
14,内蒙古自治区,苹果产量,4.18,4.69,4.31,4.04,5.19,5.93,6.23,6.6,6.17,6.99,7.86,7.77,10.57,14.37,15.17,18.9,19.96,17.47,15.49,
15,内蒙古自治区,苹果园面积,23.8,23.94,20.86,16.51,18.84,21.43,22.52,22.93,21.31,23.12,22.63,22.56,18.95,18.07,18.4,18.4,25.7,26.5,,
16,内蒙古自治区,葡萄园面积,2.6,3.05,5.04,3.56,3.52,4.89,5.34,4.5,4.83,4.83,5.99,7.55,7.42,8.19,9.2,8.4,10.1,9.6,,
17,内蒙古自治区,香蕉产量,,,,,,,,0.0,,,,,,,,,,,,
18,北京市,果园面积,,,,,,,,,,,66.71,64.93,63.46,62.47,60.18,60.2,57.14,52.51,47.71,
19,北京市,水果产量,83.4,58.59,107.81,109.85,114.16,113.36,111.88,113.38,124.89,118.8,120.13,115.17,120.87,113.6,103.85,96.45,87.94,78.97,74.4,
20,北京市,苹果产量,15.17,15.77,15.32,14.44,13.48,13.48,13.84,13.11,11.95,12.05,11.97,10.38,10.46,10.3,8.73,7.5,8.04,7.25,7.05,
21,北京市,苹果园面积,19.0,18.2,16.05,13.56,13.21,12.93,10.8,9.53,10.3,9.24,8.19,8.08,7.82,7.75,7.2,7.2,6.9,6.7,,
22,北京市,葡萄园面积,1.9,3.1,4.08,4.81,4.5,3.05,3.15,2.98,2.66,2.98,2.73,2.73,3.02,3.18,3.3,3.2,3.3,3.0,,
23,北京市,香蕉产量,,,,,,,,0.0,,,,,,,,,0.0,,,
24,吉林省,果园面积,,,,,,,,,,,57.86,58.65,55.29,53.78,52.69,52.7,47.95,46.55,18.61,
25,吉林省,水果产量,175.63,48.56,200.79,265.01,253.16,215.0,235.33,223.83,232.77,273.87,253.48,218.04,225.71,217.47,234.66,229.75,208.97,241.1,89.52,
26,吉林省,苹果产量,11.46,10.05,9.72,16.84,19.01,24.15,25.23,26.81,13.32,13.52,14.58,15.35,14.42,16.67,17.15,15.74,14.26,13.64,4.56,
27,吉林省,苹果园面积,18.83,24.07,22.22,26.09,25.29,20.38,18.58,17.73,14.2,14.47,13.39,13.7,12.78,13.61,13.7,13.7,12.1,12.1,,
